AREA,PERIMETER,ZONING_,ZONING_ID,Shape_Leng,Shape_Area,Desc_,Base_zone,Zoning
2345770,21632.4,2,1,21632.3557264,2345770.40622,Residential,R-1-A,1
740760,4706.38,3,2,4706.3767667,740760.093755,Residential,R-1-A,1
262638,2193.16,4,3,2193.15676183,262637.906247,Residential,R-1-A,1
512030,3512.24,5,4,3512.23992379,512030.15625,Residential,R-1-A,1
1246240,7053.22,6,5,7053.22387413,1246240.59374,Residential,R-1-A,1
1304600,7263.76,7,6,7263.76068854,1304595.18749,Residential,R-1-A,1
946393,5549.82,8,7,5549.82453612,946392.968747,Residential,R-1-A,1
627277,3997.71,9,8,3997.70608594,627277.156261,Residential,R-1-A,1
381981,3526.64,10,9,3312.61278059,370324.199438,Residential,R-1-A,1
339038,2535.41,11,10,2535.40560652,339038.281252,Residential,R-1-A,1
271138,2265.69,12,11,2265.68582066,271137.875007,Residential,R-1-A,1
608437,4220.69,13,12,4220.69324421,608436.937508,Residential,R-1-A,1
762885,4841.19,14,13,4841.18764592,762885.406254,Residential,R-1-A,1
2275450,11323.1,15,14,11323.0713818,2275447.71876,Residential,R-1-A,1
321116,2529.52,16,15,2529.52258133,321115.812502,Residential,R-1-A,1
291757,2265.55,17,16,2265.54798446,291757.031252,Residential,R-1-A,1
171204,1839.33,18,17,1707.54630365,135178.220064,Residential,R-1-A,1
734111,4059.65,19,18,4059.65007746,734110.5,Residential,R-1-A,1
2607730,15791.6,20,19,15791.5729381,2607728.93751,Residential,R-1-A,1
390395,2679.12,21,20,2679.12051015,390394.499999,Residential,R-1-A,1
2150220,11103,22,21,11102.9593028,2150223.5625,Residential,R-1-A,1
405113,2730.1,23,22,2730.10017796,405113.468748,Residential,R-1-A,1
415623,2347.05,24,23,2347.04738278,415622.750001,Residential,R-1-A,1
297260,2295.12,25,24,2295.11771529,297259.625001,Residential,R-1-A,1
84261.3,1571.69,26,25,1571.68695228,84261.2812474,Residential,R-1-B,1
1732510,7547.73,27,26,7547.72812112,1732512.875,Residential,R-1-A,1
482433,3137.76,28,27,3137.76430833,482432.999999,Residential,R-1-A,1
81519.3,1188.95,29,28,1188.94658766,81519.3125015,Residential,R-1-A,1
176264,2622.85,30,29,2622.85254168,176263.843753,Residential,R-1-B,1
401085,6283.88,31,30,6283.88477081,401084.906253,Residential,R-1-B,1
463243,3158.14,32,31,3158.14029049,463242.812504,Residential,R-1-A,1
799166,4949.26,33,32,4949.2580604,799165.6875,Residential,R-1-A,1
365451,2584.83,34,33,2584.83224859,365450.8125,Residential,R-1-A,1
894312,4875.14,35,34,4875.13583551,894311.531243,Residential,R-1-A,1
276500,2199.56,36,35,2199.56011483,276500.343751,Public Facilities Zone,PFS,NA
114281,1370.82,37,36,1370.82377076,114281.062498,Residential,R-1-B,1
796455,6192.67,38,37,6192.66795583,796454.625002,Residential,R-1-A,1
688174,4086.86,39,38,4086.86175401,688174.375009,Residential,R-1-A,1
397399,4673.42,40,39,4673.41994069,397398.499989,Residential,R-1-A,1
2039500,11834,41,40,11833.967227,2039499.25001,Residential,R-1-A,1
599951,3728.35,42,41,3728.35321806,599950.593747,Residential,R-1-A,1
129899,1389.76,43,42,1389.75840452,129899.187501,Residential,R-1-B,1
199977,1938.16,44,43,1938.16395685,199976.65625,Residential,R-1-B,1
1527430,6766.52,45,44,6766.51723248,1527428.15626,Residential,R-1-A,1
679084,4615.72,46,45,4615.72005129,679084.031246,Residential,R-1-A,1
146880,2305.41,47,46,2305.41025756,146880.437498,Residential,R-1-B,1
532865,4723.67,48,47,4723.66529203,532864.968752,Residential,R-1-B,1
428628,3412.09,49,48,3412.08747097,428627.874991,Residential,R-1-A,1
245292,2226.83,50,49,2226.82911226,245292.062499,Residential,R-1-B,1
444289,2722.91,51,50,2722.9099962,444288.812499,Public Facilities Zone,PFS,NA
1167810,5827.81,52,51,5827.81206144,1167809.46876,Residential,R-1-A,1
1637760,6830.08,53,52,6830.08046168,1637758.09377,Public Facilities Zone,PFS,NA
544378,3879.84,54,53,3879.83796905,544378.31249,Residential,R-1-A,1
949017,4232.31,55,54,4232.30819373,949016.53124,Public Open Space,POS,NA
456608,3927.69,56,55,3927.6869967,456608.218748,Residential,R-1-A,1
120018,2861.81,57,56,2861.81044119,120017.781244,Public Facilities Zone,PFS,NA
356625,3863.69,58,57,3863.68569058,356624.625003,Residential,R-1-B,1
22238.2,1883.11,59,58,1883.11303331,22238.2187526,Residential,R-1-A,1
1995120,8490.91,60,59,8490.90687356,1995122.56249,Residential,R-1-A,1
1147510,6080.71,61,60,6080.70850745,1147509.5,Residential,R-1-A,1
341540,2734.99,62,61,2734.99065091,341540.468747,Residential,R-1-B,1
326978,4134.82,63,62,4134.81839509,326977.718746,Residential,R-1-B,1
40687.6,1048.59,64,63,1048.58833946,40687.5624972,Public Facilities Zone,PFS,NA
55264.5,934.744,65,64,934.743775695,55264.4687492,Residential,R-1-B,1
1452730,6316.63,66,65,6316.63167786,1452731.18751,Residential,R-1-A,1
243271,2146.44,67,66,2146.4421325,243271.312498,Residential,R-1-B,1
85754.2,1543.91,68,67,1543.90659252,85754.2187487,Residential,R-1-B,1
1180080,6608.95,69,68,6608.94583289,1180075.53125,Residential,R-1-A,1
235395,2312.52,70,69,2312.51700666,235395.156252,Residential,R-1-B,1
1747120,6533.85,71,70,6533.84940389,1747120.34375,Residential,R-1-A,1
11053.3,449.088,72,71,449.087878483,11053.3124997,Public Facilities Zone,PFS,NA
54152.3,925.169,73,72,925.168493487,54152.2812512,Residential,R-1-B,1
221176,2227.99,74,73,2227.9926592,221175.812496,Residential,R-1-B,1
274682,2140.42,75,74,2140.42078865,274681.531252,Residential,R-1-A,1
519766,3383.81,76,75,3383.81207986,519766.437497,Residential,R-1-A,1
335091,4527.68,77,76,4527.67776041,335091.093753,Residential,R-1-B,1
91692.5,1662.4,78,77,1662.40455883,91692.5312523,Residential,R-1-B,1
4128290,17700.6,79,78,17700.6372975,4128290.53125,Residential,R-1-A,1
647163,4472.45,80,79,4472.44610278,647163.062491,Residential,R-1-A,1
455397,3245.13,81,80,3245.13201669,455397.46875,Residential,R-1-A,1
218553,1835.14,82,81,1835.13574427,218552.874999,Residential,R-1-B,1
189964,1820.88,83,82,1820.8764592,189963.593751,Residential,R-1-B,1
42187.3,876.202,84,83,876.202483986,42187.2812492,Residential,R-1-B,1
355829,2716.74,85,84,2716.74477314,355828.968748,Residential,R-1-A,1
624073,3285.72,86,85,3285.72057284,624073.250007,Residential,R-1-A,1
643163,3375.14,87,86,3375.13933525,643162.87501,Public Facilities Zone,PFS,NA
1134.44,1955.38,88,87,1955.38323665,1134.43749597,Residential,R-1-A,1
1843960,9011.47,89,88,9011.46994891,1843963.12499,Residential,R-1-A,1
233396,1941.43,90,89,1941.42504033,233395.968744,Public Facilities Zone,PFS,NA
1375580,5490.95,91,90,5490.94777088,1375582.34375,Residential,R-1-A,1
186269,2500.93,92,91,2500.93072531,186268.687503,Residential,R-1-A,1
1931730,6610.84,93,92,6610.84074714,1931734.46876,Residential,R-1-A,1
1061160,4120.49,94,93,4120.49065457,1061156.03126,Residential,R-1-A,1
1905540,6765.09,95,94,6765.09307432,1905537.09374,Public Facilities Zone,PFS,NA
2063080,6718.22,96,95,6718.21920733,2063084.68751,Residential,R-1-A,1
132099,2140.42,97,96,2140.4199376,132099.187498,Residential,R-1-B,1
89486.8,1357.67,98,97,1357.6689857,89486.7500029,Residential,R-1-A,1
440988,4292.41,99,98,4292.41431063,440987.656253,Residential,R-1-A,1
736223,3458.78,100,99,3458.77535834,736222.937494,Residential,R-1-A,1
443918,2698.74,101,100,2698.73963774,443918.218746,Residential,R-1-A,1
475070,5220.91,102,101,5220.90843678,475070.187501,Residential,R-1-A,1
2736360,12276.5,103,102,12276.4741495,2736355.75,Residential,R-1-A,1
978170,4730.71,104,103,4730.71193486,978170.250003,Residential,R-1-A,1
626882,4932.66,105,104,4932.6646814,626881.687496,Residential,R-1-A,1
2638950,6591.7,106,105,6591.70169464,2638953.81251,Public Facilities Zone,PFS,NA
1206810,5081.03,107,106,5081.03366235,1206807.31249,Public Open Space,POS,NA
5136980,19834.4,108,107,19834.4395251,5136975.99997,Residential,R-1-A,1
6445200,21680.3,109,108,21680.2575611,6445200.37499,Residential,R-1-A,1
537370,3403.19,110,109,3403.19289847,537370.34375,Residential,R-1-A,1
1397670,5788.45,111,110,5788.44712399,1397667.53125,Residential,R-1-A,1
1695380,7741.5,112,111,7741.50191209,1695375.78123,Residential,R-1-A,1
931723,4045.13,113,112,4045.13314379,931722.593748,Residential,R-1-A,1
1099870,4880.52,114,113,4880.5222003,1099874.87499,Residential,R-1-A,1
1519840,5604.61,115,114,5604.60835111,1519840.87501,Residential,R-1-A,1
3280090,15065.3,116,115,15065.3061393,3280087.71875,Residential,R-1-A,1
1304960,5074.3,117,116,5074.29653973,1304956.8125,Residential,R-1-A,1
2690310,12493.6,118,117,12493.6025903,2690309.46875,Residential,R-1-A,1
1060390,6935.8,119,118,6935.80140365,1060392.1875,Residential,R-1-A,1
1350950,6725.01,120,119,6725.01156196,1350953.09374,Residential,R-1-A,1
133171,1788.63,121,120,1788.63337507,133171.437493,Residential,R-1-A,1
121545,1892.28,122,121,1892.27996902,121544.625003,Residential,R-1-A,1
5916190,19912.9,123,122,19912.8587711,5916185.28125,Residential,R-1-A,1
365157,2545.54,124,123,2545.5393096,365156.687507,Public Facilities Zone,PFS,NA
364659,2717.12,125,124,2717.12400741,364659.437499,Residential,R-1-A,1
6027920,32857.9,126,125,32857.9386236,6027915.40626,Residential,R-1-A,1
4949040,8959.27,127,126,8959.26567213,4949039.03125,Public Open Space,POS,NA
