ZONECLASS,ZONEDESC,BASEELEV,HEIGHT,LASTUPDATE,LASTEDITOR,SHAPE_STAr,SHAPE_STLe,zoning
OSC,NA,0,0,NA,NA,26194.7675781,1026.64150922,NA
C-1,NA,0,0,NA,NA,26539.5654297,680.247629311,NA
OSC,NA,0,0,NA,NA,37015.3603516,1599.34050111,NA
OSC,NA,0,0,NA,NA,38856.9267578,1817.78653805,NA
C-A,NA,0,0,NA,NA,40555.6767578,804.424154264,NA
C-A,NA,0,0,NA,NA,50363.5439453,901.494690607,NA
C-A,NA,0,0,NA,NA,53727.6689453,927.344168194,NA
PF,NA,0,0,NA,NA,58150.0244141,968.748666128,NA
R-3/PD,NA,0,0,NA,NA,64991.6416016,1028.9353389,2
OSC,NA,0,0,NA,NA,66786.0058594,2287.82316831,NA
R-1,NA,0,0,NA,NA,69523.375,1491.69467281,1
OSC,NA,0,0,NA,NA,69861.7705078,1730.04347065,NA
PF,NA,0,0,NA,NA,73681.3837891,1296.98612631,NA
PF,NA,0,0,NA,NA,79102.2001953,1144.84820694,NA
R-1/PD,NA,0,0,NA,NA,84871.8720703,1587.91440058,1
C-A,NA,0,0,NA,NA,92163.4091797,1272.27334602,NA
OSC,NA,0,0,NA,NA,94147.8701172,2667.751507,NA
R-2,NA,0,0,NA,NA,98825.9423828,1809.65992735,2
OSC,NA,0,0,NA,NA,104887.227539,2209.48165969,NA
OSC,NA,0,0,NA,NA,105374.716797,2590.79317217,NA
R-3,NA,0,0,NA,NA,110071.323242,1338.34731432,2
R-2,NA,0,0,NA,NA,116994.987305,2126.66310312,2
C-1,NA,0,0,NA,NA,122463.703125,1410.74385668,NA
OSC,NA,0,0,NA,NA,136381.609375,1798.89528588,NA
OSC,NA,0,0,NA,NA,122254.72168,1719.510934,NA
OSC,NA,0,0,NA,NA,136629.364258,1849.80514792,NA
PF,NA,0,0,NA,NA,141270.510742,1550.53910598,NA
R-1/PD,NA,0,0,NA,NA,169194.783203,1696.60165172,1
PF,NA,0,0,NA,NA,180120.666992,1854.29224697,NA
OSC,NA,0,0,NA,NA,159850.663086,1565.14942912,NA
R-3/PD,NA,0,0,NA,NA,183581.34668,2303.15127308,2
R-4/PD,NA,0,0,NA,NA,213032.219727,1924.8668516,2
R-1/PD,NA,0,0,NA,NA,198681.533203,2114.47089696,1
R-3,NA,0,0,NA,NA,223254.016602,2062.32901756,2
C-1/PD,NA,0,0,NA,NA,298131.768555,2411.21040797,NA
OSC,NA,0,0,NA,NA,316459.106445,2677.94660332,NA
PF,NA,0,0,NA,NA,316563.138672,2393.50636972,NA
CM/PD,NA,0,0,NA,NA,597268.879883,3129.64322906,2
R-1,NA,0,0,NA,NA,687786.204102,3461.45781881,1
PF,NA,0,0,NA,NA,690352.360352,3697.85177248,NA
R-1/PD,NA,0,0,NA,NA,716346.951172,4615.88027818,1
R-3/PD,NA,0,0,NA,NA,232260.822266,2205.79360298,2
PF,NA,0,0,NA,NA,317398.552734,2610.97571028,NA
R-3/PD,NA,0,0,NA,NA,321694.771484,2462.19011371,2
R-T/PD,NA,0,0,NA,NA,731988.307617,3544.38780088,2
R-4/PD,NA,0,0,NA,NA,872771.673828,4856.21933482,2
OSC,NA,0,0,NA,NA,301607.414063,2428.2093981,NA
R-4/PD,NA,0,0,NA,NA,310299.96875,2493.45159553,2
R-3/PD,NA,0,0,NA,NA,1160579.71582,5098.16832862,2
PF,NA,0,0,NA,NA,336195.914063,2755.27598596,NA
R-3/PD,NA,0,0,NA,NA,1221269.5332,5610.6274292,2
OSC,NA,0,0,NA,NA,1245828.49121,16277.2079471,NA
R-3,NA,0,0,NA,NA,368506.464844,2457.06357209,2
R-3/PD,NA,0,0,NA,NA,382609.850586,2945.99224491,2
R-4/PD,NA,0,0,NA,NA,400273.501953,2728.68264995,2
R-T/PD,NA,0,0,NA,NA,406365.259766,2756.27282982,2
PF,NA,0,0,NA,NA,424823.024414,2701.3204087,NA
R-3/PD,NA,0,0,NA,NA,433005.473633,2787.28081534,2
C-1/PD,NA,0,0,NA,NA,463036.46875,3038.52068088,NA
OSC,NA,0,0,NA,NA,467633.326172,3301.0851476,NA
R-3,NA,0,0,NA,NA,529337.137695,3023.46708355,2
OSC,NA,0,0,NA,NA,515191.901367,5038.04154324,NA
R-3,NA,0,0,NA,NA,530477.941406,3039.45510549,2
PF,NA,0,0,NA,NA,577114.275391,3680.63823697,NA
R-3/PD,NA,0,0,NA,NA,559124.213867,3034.06226219,2
R-T/PD,NA,0,0,NA,NA,985523.298828,4582.43691288,2
R-1/PD,NA,0,0,NA,NA,611411.446289,4595.3533207,1
OSC,NA,0,0,NA,NA,628609.59082,12825.4124779,NA
R-T/PD,NA,0,0,NA,NA,635915.388672,4681.90291445,2
R-3,NA,0,0,NA,NA,678162.169922,3527.16661365,2
R-1/PD,NA,0,0,NA,NA,678922.642578,3556.11893687,1
CO,NA,0,0,NA,NA,778132.901367,4713.37100869,NA
R-T/PD,NA,0,0,NA,NA,795724.236328,3850.15340975,2
R-1/PD,NA,0,0,NA,NA,871993.276367,3688.88543767,1
R-1/PD,NA,0,0,NA,NA,1042001.35645,4008.55999953,1
R-T/PD,NA,0,0,NA,NA,1121337.05859,5347.81038445,2
R-T/PD,NA,0,0,NA,NA,1284992.05273,6587.69813312,2
R-1,NA,0,0,NA,NA,1421601.43164,4671.39841028,1
R-T/PD,NA,0,0,NA,NA,2020110.32617,11587.5215615,2
R-1,NA,0,0,NA,NA,2426524.97656,10053.5271924,1
R-3,NA,0,0,NA,NA,1649771.28711,8636.98814241,2
R-3/PD,NA,0,0,NA,NA,1722016.5625,8220.20125869,2
OSC,NA,0,0,NA,NA,2007029.08984,6692.84839195,NA
R-3/PD,NA,0,0,NA,NA,2347203.99414,6363.58968441,2
R-1,NA,0,0,NA,NA,11875474.8789,41319.4835246,1
PF/PD,NA,0,0,NA,NA,1719907.39258,9729.89395287,NA
R-1,NA,0,0,NA,NA,2978138.44727,9234.49320104,1
R-1,NA,0,0,NA,NA,3081929.91309,9319.35296905,1
CM/PD,NA,0,0,NA,NA,3510757.11621,11440.3603481,NA
R-1/PD,NA,0,0,NA,NA,5522071.7168,14933.3654713,1
R-1,NA,0,0,NA,NA,6811561.07324,21173.0187438,1
OSC/W,NA,0,0,NA,NA,7889452.26953,64368.8756747,NA
R-T/PD,NA,0,0,NA,NA,3296768.24609,7285.50093768,2
OSC/W,NA,0,0,NA,NA,4767064.30859,20228.8330984,NA
C-2/PD,NA,0,0,NA,NA,5813938.35938,11109.628118,NA
CM/PD/SHO,NA,0,0,NA,NA,665973.316406,3577.51082564,NA
CM/PD,NA,0,0,NA,NA,16258020.874,31307.3744463,NA
M-1/PD,NA,0,0,NA,NA,1939099.91699,5890.60533867,NA
