general_pl,id,Zoning
705 - Institutions,0,NA
705 - Institutions,1,NA
705 - Institutions,2,NA
705 - Institutions,3,NA
705 - Low to Medium Density Residential,4,1
705 - Low to Medium Density Residential,5,1
705 - Open Space Conservation Area,6,NA
705 - Open Space Conservation Area,7,NA
705 - Open Space Conservation Area,8,NA
705 - Open Space Conservation Area,9,NA
705 - Open Space Conservation Area,10,NA
705 - Open Space Conservation Area,11,NA
705 - Open Space Conservation Area,12,NA
705 - Open Space Conservation Area,13,NA
705 - Open Space Conservation Area,14,NA
705 - Open Space Conservation Area,15,NA
705 - Open Space Conservation Area,16,NA
705 - Open Space Conservation Area,17,NA
705 - Open Space Conservation Area,18,NA
705 - Open Space Conservation Area,19,NA
705 - Open Space Conservation Area,20,NA
705 - Open Space Conservation Area,21,NA
705 - Open Space Conservation Area,22,NA
705 - Open Space Conservation Area,23,NA
705 - Open Space Conservation Area,24,NA
705 - Open Space Conservation Area,25,NA
705 - Open Space Conservation Area,26,NA
705 - Open Space Conservation Area,27,NA
705 - Open Space Conservation Area,28,NA
705 - Open Space Conservation Area,29,NA
705 - Open Space Conservation Area,30,NA
705 - Open Space Conservation Area,31,NA
705 - Open Space Conservation Area,32,NA
705 - Open Space Preserve,33,NA
705 - Open Space Preserve,34,NA
705 - Open Space Preserve,35,NA
705 - Open Space Preserve,36,NA
705 - Open Space Preserve,37,NA
705 - Open Space Preserve,38,NA
705 - Open Space Preserve,39,NA
705 - Recreation Area-Private,40,NA
705 - Recreation Area-Private,41,NA
705 - Recreation Area-Private,42,NA
705 - Recreation Area-Private,43,NA
705 - Recreation Area-Private,44,NA
705 - Recreation Area-Private,45,NA
705 - Recreation Area-Public,46,NA
705 - Very Low to Low Density Residential,47,1
705 - Very Low to Low Density Residential,48,1
705 - Very Low to Low Density Residential,49,1
705 - Very Low to Low Density Residential,50,1
705 - Very Low to Low Density Residential,51,1
705 - Very Low to Low Density Residential,52,1
705 - Very Low to Low Density Residential,53,1
705 - Very Low to Low Density Residential,54,1
705 - Very Low to Low Density Residential,55,1
705 - Very Low to Low Density Residential,56,1
705 - Very Low to Low Density Residential,57,1
705 - Very Low to Low Density Residential,58,1
705 - Very Low to Low Density Residential,59,1
705 - Very Low to Low Density Residential,60,1
705 - Very Low to Low Density Residential,61,1
705 - Very Low to Low Density Residential,62,1
705 - Very Low to Low Density Residential,63,1
705 - Very Low to Low Density Residential,64,1
705 - Very Low to Low Density Residential,65,1
705 - Very Low to Low Density Residential,66,1
705 - Very Low to Low Density Residential,67,1
705 - Very Low to Low Density Residential,68,1
705 - Very Low to Low Density Residential,69,1
705 - Very Low to Low Density Residential,70,1
705 - Very Low to Low Density Residential,71,1
705 - Very Low to Low Density Residential,72,1
705 - Very Low to Low Density Residential,73,1
705 - Very Low to Low Density Residential,74,1
705 - Very Low to Low Density Residential,75,1
705 - Very Low to Low Density Residential,76,1
705 - Very Low to Low Density Residential,77,1
705 - Very Low to Low Density Residential,78,1
705 - Very Low to Low Density Residential,79,1
705 - Very Low to Low Density Residential,80,1
705 - Very Low to Low Density Residential,81,1
705 - Very Low to Low Density Residential,82,1
705 - Very Low to Low Density Residential,83,1
705 - Very Low to Low Density Residential,84,1
705 - Very Low to Low Density Residential,85,1
705 - Very Low to Low Density Residential,86,1
705 - Very Low to Low Density Residential,87,1
705 - Very Low to Low Density Residential,88,1
705 - Very Low to Low Density Residential,89,1
705 - Very Low to Low Density Residential,90,1
705 - Very Low to Low Density Residential,91,1
705 - Very Low to Low Density Residential,92,1
705 - Very Low to Low Density Residential,93,1
705 - Very Low to Low Density Residential,94,1
705 - Very Low to Low Density Residential,95,1
705 - Very Low to Low Density Residential,96,1
705 - Very Low to Low Density Residential,97,1
705 - Very Low to Low Density Residential,98,1
705 - Very Low to Low Density Residential,99,1
705 - Very Low to Low Density Residential,100,1
705 - Very Low to Low Density Residential,101,1
705 - Very Low to Low Density Residential,102,1
705 - Very Low to Low Density Residential,103,1
705 - Very Low to Low Density Residential,104,1
705 - Very Low to Low Density Residential,105,1
705 - Very Low to Low Density Residential,106,1
705 - Very Low to Low Density Residential,107,1
705 - Very Low to Low Density Residential,108,1
705 - Very Low to Low Density Residential,109,1
705 - Very Low to Low Density Residential,110,1
705 - Very Low to Low Density Residential,111,1
705 - Very Low to Low Density Residential,112,1
705 - Very Low to Low Density Residential,113,1
705 - Very Low to Low Density Residential,114,1
705 - Very Low to Low Density Residential,115,1
705 - Very Low to Low Density Residential,116,1
705 - Very Low to Low Density Residential,117,1
705 - Very Low to Low Density Residential,118,1
705 - Very Low to Low Density Residential,119,1
705 - Very Low to Low Density Residential,120,1
705 - Very Low to Low Density Residential,121,1
705 - Very Low to Low Density Residential,122,1
705 - Very Low to Low Density Residential,123,1
705 - Very Low to Low Density Residential,124,1
705 - Very Low to Low Density Residential,125,1
705 - Very Low to Low Density Residential,126,1
705 - Very Low to Low Density Residential,127,1
705 - Very Low to Low Density Residential,128,1
705 - Very Low to Low Density Residential,129,1
705 - Very Low to Low Density Residential,130,1
705 - Very Low to Low Density Residential,131,1
705 - Very Low to Low Density Residential,132,1
705 - Very Low to Low Density Residential,133,1
705 - Very Low to Low Density Residential,134,1
705 - Very Low to Low Density Residential,135,1
705 - Very Low to Low Density Residential,136,1
705 - Very Low to Low Density Residential,137,1
705 - Very Low to Low Density Residential,138,1
705 - Very Low to Low Density Residential,139,1
705 - Very Low to Low Density Residential,140,1
705 - Very Low to Low Density Residential,141,1
705 - Very Low to Low Density Residential,142,1
705 - Very Low to Low Density Residential,143,1
705 - Very Low to Low Density Residential,144,1
705 - Very Low to Low Density Residential,145,1
705 - Very Low to Low Density Residential,146,1
705 - Very Low to Low Density Residential,147,1
705 - Very Low to Low Density Residential,148,1
705 - Very Low to Low Density Residential,149,1
705 - Very Low to Low Density Residential,150,1
705 - Very Low to Low Density Residential,151,1
705 - Very Low to Low Density Residential,152,1
705 - Very Low to Low Density Residential,153,1
705 - Very Low to Low Density Residential,154,1
705 - Very Low to Low Density Residential,155,1
705 - Very Low to Low Density Residential,156,1
705 - Very Low to Low Density Residential,157,1
