OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
1,F,F,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,F,NA,NA,NA,431489.077148,5671.72527419,NA
2,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,1070420.19434,6084.30447889,NA
4,PF,PF,2017-12-12,Krisha Penollar - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,48736981.3623,65271.1516072,NA
5,RMH,RMH,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,RMH,NA,NA,NA,1761211.97949,5323.72055796,2
6,P,P,2017-12-12,Krisha Penollar - CDD,NA,NA,NA,NA,P(39),P(39),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29702'>North Bayshore </a>,27933871.7861,43932.8039305,NA
12,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,sd,NA,NA,R3-2sd,NA,NA,NA,89784.6591797,1220.95093401,2
14,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,42021.9355469,947.4832447018446,2
15,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,sd,NA,NA,R3-2sd,NA,NA,NA,243502.546875,2650.27594428,2
16,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,369997.108398,4038.35262634,NA
22,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,814344.350586,6269.56833124,2
23,R2,R2,2016-12-05,Eric Anderson - CDD,NA,h1s,NA,NA,NA,R2h1s,NA,NA,NA,176982.375977,1939.03582365,2
25,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,144644.507813,2478.37767246,2
26,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,240200.723633,1947.49974209,2
27,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(30),P(30),NA,NA,Sylvan - Dale,1779934.63965,5304.23261971,1
28,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,316705.305664,2269.94865211,2
29,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(38),P(38),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29701'>El Camino Real</a>,3122199.32422,10130.2523971,2
30,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(30),P(30),NA,NA,Sylvan - Dale,221618.817383,2023.96722152,1
32,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,W,NA,AW,NA,NA,NA,461582.347656,3487.14399535,NA
33,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,116383.283203,1474.16044785,NA
34,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(35),P(35),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2779'>Whisman Station</a>,2517387.28809,7280.34842431,2
36,MM,MM,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,MM,NA,NA,NA,2502509.59277,7227.38846643,NA
37,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(29),P(29),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2775'>111 Ferry-Morse Way</a>,790163.915039,3708.26279508,NA
38,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,1887717.14258,6465.69959095,NA
39,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,629202.989258,3256.30693893,NA
40,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,931133.662109,10160.9607983,NA
41,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,12238296.2363,16443.6350375,1
42,CRA,CRA,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CRA,NA,NA,NA,294260.487305,2945.35218464,NA
43,CS,CS,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CS,NA,NA,NA,2618472.1875,10962.6951951,NA
44,CO,CO,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CO,NA,NA,NA,340371.327148,2595.69577897,NA
45,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,478655.792969,5842.95762444,NA
46,P,P,2020-01-22,Krisha Penollar - CDD,NA,NA,NA,NA,P(40),P(40),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29703'>San Antonio</a>,5342220.54297,11880.5715869,NA
48,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(38),P(38),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29701'>El Camino Real</a>,8504565.29004,40024.471611,NA
49,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,893732.160156,4709.83430781,2
50,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,1039471.51465,5740.09385036,2
51,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,1289730.61426,6404.29820446,NA
52,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,642893.603516,3204.32418472,2
53,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,NA,NA,NA,NA,R3-2.5,NA,NA,NA,217641.915039,2084.30234394,2
54,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,1804222.17188,10452.6191212,2
55,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,862283.319336,3869.05812546,NA
56,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,sd,NA,NA,R1sd,NA,NA,NA,265184.979492,3218.32700056,1
57,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,969451.479492,4948.34329596,1
58,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,257578.796875,2558.62861888,2
59,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,NA,NA,NA,NA,R3-2.5,NA,NA,NA,284954.90625,2512.53940909,2
60,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(19),P(19),NA,NA,<a href='https://www.mountainview.gov/civicax/filebank/blobdload.aspx?BlobID=29700'>Downtown</a>,4384664.44238,10769.5840634,NA
61,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,6141939.23926,21232.6243442,1
62,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,5395269.21387,14609.8323877,1
63,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,870221.517578,3729.13980462,NA
64,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,543292.068359,4574.04179925,NA
66,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,109433.757813,1693.08653432,2
67,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,51303.8642578,1059.80676402,1
68,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,92458.1835938,1219.47252207,NA
69,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,21536.2695313,597.9142182095031,NA
70,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,85938.7861328,1977.58755446,2
71,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,51788.2607422,1094.14591697,2
72,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,200934.93457,2571.10532647,2
73,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,46113.6015625,1028.84956417,2
74,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,60990.4628906,1003.8597128,2
75,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,165409.65918,2694.87132357,2
76,MM,MM,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,MM,NA,NA,NA,1927672.64844,5826.37253272,NA
77,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,246417.510742,2101.64065644,2
78,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,PRE,NA,PRE PF,NA,NA,NA,741551.297852,3351.41403591,NA
80,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,91992.3652344,1643.34309552,NA
81,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,1582852.44238,5260.46054474,1
82,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(32),P(32),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2776'>Evandale</a>,1129369.87988,7377.00962964,NA
83,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,23454.1826172,658.2024994811937,2
84,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,139078.251953,1519.03551422,1
85,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,2408463.4873,13268.747361,2
86,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,1353892.83789,9375.0135307,2
89,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,97637.2587891,1275.04228622,2
90,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,23629.9003906,641.3703200342836,2
91,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,1389871.85352,6044.73962677,2
92,CRA,CRA,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CRA,NA,NA,NA,60737.8408203,991.8157343655334,NA
93,R4,R4,2019-12-11,Krisha Penollar - CDD,NA,NA,NA,NA,NA,R4,NA,NA,NA,369666.556641,2749.65154291,2
94,R3,R3,2019-12-11,Krisha Penollar - CDD,2.2,NA,NA,NA,NA,R3-2.2,NA,NA,NA,413940.616211,2777.51697569,2
95,RMH,RMH,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,RMH,NA,NA,NA,1271489.4668,4482.1086152,2
96,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,98759.5322266,1297.26607537,NA
97,RMH,RMH,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,RMH,NA,NA,NA,546314.458008,4621.79397631,2
98,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,478965.643555,5213.86806529,1
99,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,166075.698242,2943.73007254,2
100,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,265746.856445,2210.53240619,2
102,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,621128.136719,3316.71070472,2
103,R2,R2,2016-12-05,Eric Anderson - CDD,10,NA,NA,NA,NA,R2-10,NA,NA,NA,434296.119141,2855.02966758,2
104,R1,R1,2016-12-05,Eric Anderson - CDD,10,NA,sd,NA,NA,R1-10sd,NA,NA,NA,166340.311523,1789.49728335,1
105,R2,R2,2016-12-05,Eric Anderson - CDD,9,NA,NA,NA,NA,R2-9,NA,NA,NA,79107.0732422,1559.77752279,2
106,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,594452.69043,3788.82791973,2
107,A,A,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,A,NA,NA,NA,138967.810547,2951.47681036,NA
108,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,499836.883789,3083.24540617,2
109,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,441853.566406,3500.96973032,NA
110,R1,R1,2016-12-05,Eric Anderson - CDD,10,NA,NA,NA,NA,R1-10,NA,NA,NA,413385.228516,2833.11001348,1
111,R1,R1,2016-12-05,Eric Anderson - CDD,7,NA,NA,NA,NA,R1-7,NA,NA,NA,782636.698242,7228.16810212,1
112,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,628345.374023,3446.83713988,NA
113,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(24),P(24),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2770'>El Camino Medical Park</a>,2998749.14746,11362.2218406,NA
114,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,1657639.44434,5497.55266899,NA
115,R1,R1,2016-12-05,Eric Anderson - CDD,7.5,NA,NA,NA,NA,R1-7.5,NA,NA,NA,186966.368164,1744.20364297,1
116,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(6),P(6),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2757'>San Ramon</a>,390703.521484,2501.51304106,2
117,CN,CN,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CN,NA,NA,NA,288042.625977,2244.49183853,NA
118,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,6970916.73535,16754.8338552,1
119,R3,R3,2016-12-05,Eric Anderson - CDD,2.2,h1s,NA,NA,NA,R3-2.2h1s,NA,NA,NA,63123.4082031,1068.25609168,2
120,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,596989.826172,4345.78188021,2
121,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,279605.828125,5114.216289,2
122,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,35518.8916016,1007.4465703,NA
123,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,4469383.1123,16098.4164527,1
124,R1,R1,2016-12-05,Eric Anderson - CDD,8,h1s,NA,NA,NA,R1-8h1s,NA,NA,NA,242417.384766,2452.3161196,1
125,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,811478.489258,4154.35612767,1
126,R1,R1,2016-12-05,Eric Anderson - CDD,9,NA,NA,NA,NA,R1-9,NA,NA,NA,238539.616211,2651.9941886,1
127,R1,R1,2016-12-05,Eric Anderson - CDD,8.5,h1s,NA,NA,NA,R1-8.5h1s,NA,NA,NA,927461.416016,3963.16812598,1
128,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,854314.019531,4055.60443219,1
129,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,781319.849609,6281.27346218,2
130,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,1532963.27051,6417.48124055,2
132,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,98061.9199219,1284.51513871,2
133,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,441600.428711,2842.55584394,NA
134,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,416311.918945,2803.98969632,2
135,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,1095331.19727,7865.52154965,NA
137,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,sd,NA,NA,R3-3sd,NA,NA,NA,58857.7666016,1223.08782923,2
138,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,49176.703125,987.4689929580468,2
139,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,512863.283203,3604.36003176,2
140,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,873940.47168,4116.06301207,1
142,R3,R3,2016-12-05,Eric Anderson - CDD,1,h1s,NA,NA,NA,R3-1h1s,NA,NA,NA,240536.168945,3780.03098425,2
143,R1,R1,2016-12-05,Eric Anderson - CDD,7.5,NA,NA,NA,NA,R1-7.5,NA,NA,NA,1363314.62207,6609.96223346,1
144,CO,CO,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CO,NA,NA,NA,119578.902344,1740.10945052,NA
145,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,159996.925781,1594.28210161,2
146,R1,R1,2016-12-05,Eric Anderson - CDD,NA,h1s,NA,NA,NA,R1h1s,NA,NA,NA,284393.067383,2136.64181765,1
147,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,1346297.79395,5817.15070753,1
148,CN,CN,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CN,NA,NA,NA,363344.510742,2417.30785575,NA
149,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,60868.4550781,1143.31757539,2
150,R2,R2,2016-12-05,Eric Anderson - CDD,NA,h1s,NA,NA,NA,R2h1s,NA,NA,NA,93377.5869141,1789.57559635,2
151,R1,R1,2016-12-05,Eric Anderson - CDD,7.5,NA,NA,NA,NA,R1-7.5,NA,NA,NA,66449.9912109,1016.89017209,1
152,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,307012.613281,2842.22325884,1
153,R1,R1,2016-12-05,Eric Anderson - CDD,8.5,NA,NA,NA,NA,R1-8.5,NA,NA,NA,41530.8613281,1152.85899566,1
154,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,466252.06543,2777.15372976,NA
156,R3,R3,2016-12-05,Eric Anderson - CDD,1,h1s,NA,NA,NA,R3-1h1s,NA,NA,NA,22044.4492188,636.7895127889566,2
157,R2,R2,2016-12-05,Eric Anderson - CDD,NA,h1s,NA,NA,NA,R2h1s,NA,NA,NA,58333.4355469,1091.49247163,2
158,CN,CN,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CN,NA,NA,NA,154485.272461,1574.65395312,NA
159,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,h1s,NA,NA,NA,R3-2.5h1s,NA,NA,NA,160576.057617,1973.78870657,2
160,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,NA,NA,NA,NA,R3-2.5,NA,NA,NA,265659.737305,2179.19713648,2
161,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,65239.9208984,1045.14852068,2
162,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(7),P(7),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2969'>Mayfield</a>,932071.274414,4377.4412855,NA
163,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,120378.942383,1519.42315318,2
164,R1,R1,2016-12-05,Eric Anderson - CDD,8,NA,NA,NA,NA,R1-8,NA,NA,NA,322875.481445,2647.9487357,1
165,R3,R3,2016-12-05,Eric Anderson - CDD,2.2,NA,NA,NA,NA,R3-2.2,NA,NA,NA,424149.759766,3160.03412231,2
166,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,988474.469727,7199.79475415,2
168,R3,R3,2020-01-22,Krisha Penollar - CDD,D,NA,NA,NA,NA,R3-D,NA,NA,NA,384495.536133,3372.16719778,2
169,R3,R3,2016-12-05,Eric Anderson - CDD,2.2,NA,sd,NA,NA,R3-2.2sd,NA,NA,NA,169731.648438,1689.8349139,2
170,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,242682.959961,2568.39174946,2
171,MM,MM,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,MM,NA,NA,NA,76707.2216797,1549.02641727,NA
172,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,h1s,NA,NA,NA,R3-1.5h1s,NA,NA,NA,70664.2666016,1536.67986403,2
173,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(8),P(8),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2759'>San Antonio Station</a>,1443612.31055,6286.64352301,2
175,CS,CS,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CS,NA,NA,NA,668156.367188,3689.32483123,NA
176,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,26719.6962891,860.7238232663424,2
177,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,137693.986328,3756.37879122,NA
179,RMH,RMH,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,RMH,NA,NA,NA,756664.650391,3970.5566644,2
180,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,173375.265625,2232.2762286400002,2
181,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(27),P(27),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2773'>Grant - Phyllis</a>,1003810.63672,4478.74346976,NA
182,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,195660.230469,2472.10331428,2
183,R3,R3,2016-12-05,Eric Anderson - CDD,1,h2s,NA,NA,NA,R3-1h2s,NA,NA,NA,61972.8076172,1141.24290082,2
184,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,642460.84375,3323.2378894,NA
185,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,544952.891602,3639.34949942,2
186,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,NA,NA,NA,NA,R3-2.5,NA,NA,NA,159749.532227,1592.83978786,2
